Epoch,Batch,Global_Step,Total_Energy,Sim,Var,Cov,LR
1,27,27,31.517133712768555,0.056519783288240436,0.9671875,5.920685927073161,0.002
1,28,28,31.485897064208984,0.0614581232269605,0.9645833333333333,5.835864512125651,0.002
1,29,29,31.395002365112305,0.06674903705716133,0.9518229166666666,5.933267911275228,0.002
1,30,30,31.21783447265625,0.06128484879930814,0.9466145833333334,6.036534945170085,0.002
1,31,31,31.103973388671875,0.05224483509858449,0.95625,5.910225518544515,0.002
1,32,32,31.1223201751709,0.04968278780579567,0.9565104166666667,5.9726899782816565,0.002
1,33,33,31.07972526550293,0.049925429125626884,0.9684895833333333,5.602294540405273,0.002
1,34,34,30.941547393798828,0.05233002454042435,0.96171875,5.618640995025634,0.002
1,35,35,30.842132568359375,0.05492874681949615,0.93359375,6.108286539713542,0.002
1,36,36,30.737045288085938,0.06031493941942851,0.9182291666666667,6.262169710795084,0.002
1,37,37,30.58144760131836,0.05935919731855392,0.9244791666666666,6.031443691253662,0.002
1,38,38,30.539634704589844,0.05925328806042671,0.9302083333333333,5.810894266764323,0.002
1,39,39,30.426158905029297,0.05904856150348981,0.9216145833333333,5.9308808962504065,0.002
1,40,40,30.342456817626953,0.05842547367016474,0.9125,6.08296168645223,0.002
1,41,41,30.189668655395508,0.055516170461972554,0.8921875,6.511095555623372,0.002
1,42,42,30.113983154296875,0.05442716057101885,0.903125,6.197405815124512,0.002
1,43,43,29.98477554321289,0.04953044106562932,0.9119791666666667,5.951395066579183,0.002
1,44,44,29.90400505065918,0.05009708379705747,0.9127604166666666,5.828543790181478,0.002
1,45,45,29.761760711669922,0.0512674796084563,0.8838541666666667,6.356420548756917,0.002
1,46,46,29.630340576171875,0.05445597345630328,0.8671875,6.595241705576579,0.002
1,47,47,29.486787796020508,0.054470377912123995,0.8677083333333333,6.481088892618815,0.002
1,48,48,29.348356246948242,0.053047922005256015,0.8609375,6.5047987302144366,0.002
1,49,49,29.23488426208496,0.05337795466184616,0.871875,6.134014479319254,0.002
1,50,50,29.088306427001953,0.054213777432839075,0.8604166666666667,6.207962067921956,0.002
1,51,51,28.912017822265625,0.05387669801712036,0.828125,6.853304290771485,0.002
1,52,52,28.71837043762207,0.052337809652090075,0.8143229166666667,7.07386589050293,0.002
1,53,53,28.675630569458008,0.053172340244054796,0.82265625,6.799183050791423,0.002
1,54,54,28.52913475036621,0.05342595080534617,0.8216145833333334,6.669422976175944,0.002
1,55,55,28.516828536987305,0.05298602283000946,0.8197916666666667,6.717236709594727,0.002
1,56,56,28.34518814086914,0.052232867727677025,0.8166666666666667,6.679170195261637,0.002
1,57,57,28.221664428710938,0.04953975155949593,0.8002604166666667,7.015528806050619,0.002
1,58,58,28.152740478515625,0.04570002531011899,0.8020833333333334,6.978732840220133,0.002
1,59,59,28.043193817138672,0.0430905411640803,0.8114583333333333,6.703863779703776,0.002
1,60,60,27.94420623779297,0.04143914853533109,0.7955729166666666,7.020192241668701,0.002
1,61,61,27.88923454284668,0.04087295730908712,0.7963541666666667,6.982093620300293,0.002
1,62,62,27.87148666381836,0.040440849711497626,0.7947916666666667,6.989994748433431,0.002
1,63,63,27.77571678161621,0.03861089671651522,0.79140625,7.0093339284261065,0.002
1,64,64,27.712989807128906,0.03654308716456096,0.7901041666666667,7.0528190930684405,0.002
1,65,65,27.599746704101562,0.034862201164166134,0.7786458333333334,7.305402978261312,0.002
1,66,66,27.51226043701172,0.033623034010330836,0.7799479166666666,7.228571128845215,0.002
1,67,67,27.486915588378906,0.03183315843343735,0.7932291666666667,6.8694161097208655,0.002
