time_s,run_id,update,avg_rew,vf_q10,vf_q50,vf_q90,upright_mean,height_mean,done_rate,fallen_rate,timeout_rate,tau_mean,ar_mean,pg_loss,v_loss,entropy,approx_kl,clipfrac,explained_var,ep_timeout_rate,ep_dist_mean,ep_ret_mean,score,best_score,sps
242.548,0,110,1.315483,-0.003542,-0.000171,0.002601,0.999862,0.235092,0.054688,0.054688,0.0,52.004646,3.536134,0.00065,0.031831,10.767795,0.009658,0.139104,0.998723,0.0,-7.1e-05,24.997526,0.0,1.0,-0.0,0.0,11837.227
264.768,0,120,1.31566,-0.003398,-0.000139,0.002619,0.999862,0.232943,0.054688,0.054688,0.0,51.192593,3.281765,0.001772,0.02909,10.339899,0.010858,0.155689,0.998927,0.0,-5.3e-05,25.060257,0.0,1.0,-0.0,0.0,11797.619
287.005,0,130,1.321224,-0.00321,7.6e-05,0.002751,0.999834,0.233098,0.050781,0.050781,0.0,50.973747,3.087755,0.00193,0.027431,9.988149,0.011931,0.162169,0.998916,0.0,-8e-06,25.087189,0.0,1.0,-0.0,0.0,11788.704
309.857,0,140,1.325805,-0.002374,0.00069,0.003149,0.999844,0.234949,0.050781,0.050781,0.0,50.600136,2.852551,0.000895,0.030201,9.679494,0.008505,0.115933,0.998698,0.0,9.5e-05,25.132122,0.0,1.0,0.0,0.0,11471.709
332.41,0,150,1.323804,-0.002263,0.000787,0.003246,0.99982,0.234589,0.054688,0.054688,0.0,49.997322,2.692949,0.003589,0.026756,9.3988,0.010957,0.157727,0.998799,0.0,0.000108,25.175638,0.0,1.0,0.0,0.0,11623.327
354.633,0,160,1.314863,-0.002043,0.00092,0.003354,0.999794,0.233912,0.050781,0.050781,0.0,49.895515,2.671995,0.002467,0.024909,9.316369,0.011686,0.159722,0.998851,0.0,0.00015,24.936508,0.0375,0.9875,0.0,0.0,11796.226
377.241,0,170,1.303531,-0.001775,0.001136,0.003515,0.999795,0.235403,0.050781,0.050781,0.0,49.783325,2.531748,0.00128,0.028034,9.039438,0.00986,0.137482,0.999004,0.0,0.000179,24.726532,0.075,0.975,0.0,0.0,11594.977
399.516,0,180,1.288231,-0.001525,0.001295,0.003641,0.999786,0.233641,0.054688,0.054688,0.0,49.51506,2.393605,0.001994,0.023665,8.71605,0.010604,0.155914,0.999178,0.0,0.00021,24.525534,0.1125,0.9625,0.0,0.0,11768.51
421.927,0,190,1.278118,-0.001546,0.001254,0.003642,0.999775,0.232073,0.054688,0.054688,0.0,48.836243,2.25076,0.002192,0.020569,8.473789,0.012669,0.17452,0.999165,0.0,0.000222,24.320017,0.15,0.95,0.0,0.0,11697.424
445.095,0,200,1.271666,-0.001902,0.000981,0.003372,0.999762,0.234269,0.050781,0.050781,0.0,48.420311,2.116837,0.003403,0.020204,8.294768,0.011907,0.174917,0.999025,0.0,0.000164,24.1056,0.1875,0.9375,0.0,0.0,11314.713
467.864,0,210,1.2549,-0.001233,0.001526,0.003942,0.999765,0.232312,0.054688,0.054688,0.0,48.170876,2.065275,0.003674,0.018513,8.211564,0.014195,0.193432,0.998966,0.0,0.000277,23.892929,0.225,0.925,0.0,0.0,11513.139
490.557,0,220,1.248718,-0.000635,0.001949,0.00439,0.999788,0.233904,0.050781,0.050781,0.0,47.637722,1.946221,0.001481,0.020464,8.017405,0.010377,0.147072,0.999166,0.0,0.000365,23.68013,0.2625,0.9125,0.0,0.0,11551.902
513.18,0,230,1.237195,-0.000323,0.002133,0.004583,0.999798,0.235402,0.050781,0.050781,0.0,47.159126,1.853286,0.002108,0.020523,7.839474,0.010059,0.145429,0.999053,0.0,0.000398,23.467358,0.3,0.9,0.0,0.0,11587.258
536.065,0,240,1.220771,-5.7e-05,0.002309,0.004815,0.999791,0.233645,0.054688,0.054688,0.0,46.98122,1.832721,0.002858,0.017359,7.696023,0.011453,0.166286,0.999263,0.0,0.000451,23.244156,0.3375,0.8875,0.0,0.0,11455.092
558.778,0,250,1.210152,0.000189,0.002563,0.005056,0.999778,0.232064,0.054688,0.054688,0.0,46.593494,1.734848,0.001634,0.018759,7.544322,0.01073,0.148025,0.999278,0.0,0.000492,23.027184,0.375,0.875,0.0,0.0,11541.649
581.661,0,260,1.203866,0.000765,0.003006,0.005537,0.999773,0.234276,0.050781,0.050781,0.0,46.187431,1.610786,0.002481,0.018946,7.46753,0.010804,0.146693,0.999277,0.0,0.000584,22.82041,0.4125,0.8625,0.0,0.0,11455.523
603.508,0,270,1.19037,0.000824,0.003108,0.00575,0.999767,0.235622,0.050781,0.050781,0.0,46.358551,1.572272,0.003882,0.01731,7.381547,0.010711,0.142493,0.998926,0.0,0.000607,22.59623,0.45,0.85,0.0,0.0,11999.1
625.419,0,280,1.175007,0.001328,0.003661,0.006372,0.999754,0.233278,0.054688,0.054688,0.0,46.074051,1.514345,0.001961,0.015523,7.304224,0.011381,0.164176,0.999338,0.0,0.000718,22.379616,0.4875,0.8375,0.0,0.0,11964.153
0,10,1.447349190711975,-0.004235387314110994,-0.0005750443669967353,0.0022250737529248,0.9953892230987549,0.23383170366287231,0.05078125,1.0,0.0,55.9592399597168,5.374622344970703,-0.00017671175555733498,0.6595813389867544,11.642847031354904,0.01080251312623659,0.1462078094482422,0.9746962189674377,0.0,-0.0001396411535097286,27.429542541503906,0.0,1.0,-0.0,-0.0
0,20,1.4428253173828125,-0.004644777160137892,-0.0007950981380417943,0.002071353141218424,0.9952669143676758,0.23530785739421844,0.05078125,1.0,0.0,56.49967956542969,5.6014885902404785,-0.00038903671520529315,0.4229918345808983,11.953935384750366,0.007269684286711708,0.09360885620117188,0.9845582842826843,0.0,-0.00019257128587923944,27.380008697509766,0.0,1.0,-0.0,-0.0
0,30,1.4351590871810913,-0.004322590306401253,-0.0005933795473538339,0.0021446989849209785,0.9951431751251221,0.23301562666893005,0.0546875,1.0,0.0,56.68199157714844,5.800687789916992,0.00030343303660629317,0.35396155435591936,12.193179428577423,0.0069950379952388175,0.0903768539428711,0.9872578382492065,0.0,-0.00016025638615246862,27.341564178466797,0.0,1.0,-0.0,-0.0
0,40,1.4377315044403076,-0.0045034936629235744,-0.0007348146755248308,0.002081493381410837,0.9947503209114075,0.23240125179290771,0.05078125,1.0,0.0,56.581321716308594,5.850442886352539,0.0011980410890828352,0.28337021730840206,12.372495353221893,0.009803586805901432,0.1184225082397461,0.9899794459342957,0.0,-0.00018960796296596527,27.332244873046875,0.0,1.0,-0.0,-0.0
0,50,1.4416882991790771,-0.0046798125840723515,-0.0009570294641889632,0.0019547820556908846,0.9944144487380981,0.2345019280910492,0.05078125,1.0,0.0,56.71466064453125,5.899846076965332,0.0006237030283955391,0.17318689078092575,12.504001170396805,0.008102125601908483,0.10844230651855469,0.9933569431304932,0.0,-0.0002181308518629521,27.318519592285156,0.0,1.0,-0.0,-0.0
0,60,1.4352830648422241,-0.004694361239671707,-0.0009856242686510086,0.0018574388232082129,0.9943408966064453,0.23197714984416962,0.0546875,1.0,0.0,56.698036193847656,5.884018898010254,-0.0002615529047034215,0.12461912631988525,12.489287108182907,0.005302221422425646,0.05584144592285156,0.9954342246055603,0.0,-0.00023726210929453373,27.320383071899414,0.0,1.0,-0.0,-0.0
0,70,1.4453672170639038,-0.005227291956543922,-0.001686561037786305,0.0013928330736234784,0.9945008754730225,0.23418304324150085,0.05078125,1.0,0.0,55.762245178222656,5.56848669052124,0.0008742574937059544,0.07123134727589786,12.198433369398117,0.008602743596838991,0.11452579498291016,0.9974867105484009,0.0,-0.00033786651329137385,27.390193939208984,0.0,1.0,-0.0,-0.0
0,80,1.4447946548461914,-0.005857326090335846,-0.0023915525525808334,0.0010240999981760979,0.9944582581520081,0.23503290116786957,0.0546875,1.0,0.0,55.37211227416992,5.270279407501221,0.0002451929140079301,0.055015324731357396,11.911040931940079,0.007520902096985083,0.09267902374267578,0.9979668259620667,0.0,-0.0004628996248356998,27.451759338378906,0.0,1.0,-0.0,-0.0
0,90,1.4444546699523926,-0.006113175768405199,-0.0028205052949488163,0.0007451031124219298,0.9941374063491821,0.23255738615989685,0.0546875,1.0,0.0,54.5279426574707,4.956496238708496,-0.0002517624170650379,0.048762013553641737,11.542661368846893,0.006457453070197516,0.08028125762939453,0.998357892036438,0.0,-0.0005352598964236677,27.519468307495117,0.0,1.0,-0.0,-0.0
